run_id,score,threshold,bad_state_multiplier,lookback_rebalances,min_history_rebalances,annualized_return,sharpe_ratio,max_drawdown,signal_gate_active_rate
67,3.4486463263834626,0.015,0.3,20,6,0.41168672090421743,1.343184336530807,-0.35425934282817106,0.2018348623853211
86,3.4404463265762546,0.02,0.3,12,8,0.4136185219747348,1.3373661412342652,-0.3554897319967022,0.21100917431192662
45,3.436612426221031,0.01,0.3,12,6,0.41769620486734915,1.3350530452259866,-0.3542664270744662,0.1651376146788991
47,3.43324519949999,0.01,0.3,20,6,0.41528169116705405,1.335059933385484,-0.3542664270744662,0.1743119266055046
64,3.4278423798542486,0.015,0.2,20,8,0.41122100574541354,1.3329060424607684,-0.35426861370582874,0.1834862385321101
42,3.4265302997166707,0.01,0.2,12,8,0.4190721890230493,1.3290625208181488,-0.3542650023822309,0.14678899082568808
44,3.4258098378501662,0.01,0.2,20,8,0.41670884354833393,1.3302027570080044,-0.3542650023822309,0.1559633027522936
66,3.4182018184792478,0.015,0.3,12,8,0.417040716387286,1.3270201915340614,-0.3551161654462297,0.1651376146788991
89,3.417927868023269,0.02,0.35,12,6,0.4080695314613292,1.329898640478603,-0.3553039215683166,0.22935779816513763
21,3.415960376866196,0.005,0.2,12,6,0.4121505940008472,1.3271804341300535,-0.35426311049632875,0.1559633027522936
69,3.3966532000333256,0.015,0.35,12,6,0.4114728135496608,1.320097447775126,-0.355012081556941,0.1834862385321101
23,3.3892523658673293,0.005,0.2,20,6,0.4112692488688976,1.3177943209569583,-0.35426311049632875,0.14678899082568808
85,3.375879926309687,0.02,0.3,12,6,0.4014822022523714,1.3132807244754743,-0.3554934622035071,0.22935779816513763
82,3.3667789370377115,0.02,0.2,12,8,0.40257945725617894,1.3080352275163878,-0.35581140415528445,0.21100917431192662
63,3.3554935556992245,0.015,0.2,20,6,0.39785061825090207,1.3058194377237522,-0.3542656999920685,0.2018348623853211
41,3.3537907409101138,0.01,0.2,12,6,0.40559706333998946,1.3018182420664808,-0.35426311049632875,0.1651376146788991
65,3.3534192383757953,0.015,0.3,12,6,0.40486467992828956,1.302835669763188,-0.3551206125682015,0.1834862385321101
43,3.353102919297007,0.01,0.2,20,6,0.4032561337307756,1.3029702590176153,-0.35426311049632875,0.1743119266055046
62,3.3401086206505086,0.015,0.2,12,8,0.4056446702656338,1.2956475003134797,-0.3553713489789482,0.1651376146788991
81,3.2941051216969015,0.02,0.2,12,6,0.38926071620893166,1.2807692140116214,-0.35580849993337016,0.22935779816513763
61,3.2673417255241013,0.015,0.2,12,6,0.39229792090987203,1.268329705098685,-0.35537039386935587,0.1834862385321101
